id,firstName,lastName,phoneNumber,teamId,teamName
1,John,Doe,555-1234,1,Team Alpha
2,Jane,Doe,555-5678,2,Team Bravo
3,Jim,Smith,555-9012,1,Team Alpha
4,Emily,Johnson,555-3456,3,Team Charlie
5,Michael,Brown,555-7890,4,Team Delta
6,Aaron,Miller,555-1122,6,Team Foxtrot
7,Abigail,Adams,555-3344,7,Team Golf
8,Adam,Roberts,555-5566,8,Team Hotel
9,Adrian,Perez,555-7788,9,Team India
10,Alexandra,Anderson,555-9900,10,Team Juliet
11,Alice,Harris,555-2211,3,Team Charlie
12,Alicia,Clark,555-4422,4,Team Delta
13,Alison,Lewis,555-6633,1,Team Alpha
14,Amanda,Young,555-8844,2,Team Bravo
15,Amber,Hall,555-1055,3,Team Charlie
16,Andrea,Allen,555-3266,4,Team Delta
17,Andrew,Torres,555-5477,1,Team Alpha
18,Angela,Peterson,555-7688,2,Team Bravo
19,Angelina,Collins,555-9899,3,Team Charlie
20,Anna,Garcia,555-2001,4,Team Delta
21,Anne,Rodriguez,555-4212,6,Team Foxtrot
22,Annie,Kim,555-6423,7,Team Golf
23,Ashley,Williams,555-8634,8,Team Hotel
24,Audrey,Johnson,555-0845,9,Team India
25,Austin,Moore,555-3056,10,Team Juliet
26,Barbara,Taylor,555-5267,3,Team Charlie
27,Beatrice,Thomas,555-7478,4,Team Delta
28,Benjamin,Martinez,555-9689,1,Team Alpha
29,Bernard,Robinson,555-2891,2,Team Bravo
30,Betty,Clark,555-4102,3,Team Charlie
31,Beverly,Rodriguez,555-6313,4,Team Delta
32,Blake,Smith,555-8524,6,Team Foxtrot
33,Brad,White,555-0735,7,Team Golf
34,Brandon,Harris,555-2946,8,Team Hotel
35,Brandy,Nelson,555-5157,9,Team India
36,Brenda,Scott,555-7368,10,Team Juliet
37,Brent,Lee,555-9579,1,Team Alpha
38,Brett,Walker,555-2781,2,Team Bravo
39,Brian,Hall,555-4992,3,Team Charlie
40,Brittany,Young,555-7203,4,Team Delta
41,Bruce,Allen,555-9414,6,Team Foxtrot
42,Bryan,Kennedy,555-2625,7,Team Golf
43,Byron,King,555-5836,8,Team Hotel
44,Caleb,James,555-8047,9,Team India
45,Calvin,Flores,555-0258,10,Team Juliet
46,Cameron,Baker,555-2469,6,Team Foxtrot
47,Carl,Gonzalez,555-4670,7,Team Golf
48,Carla,Cook,555-6871,8,Team Hotel
49,Carlos,Bell,555-9072,9,Team India
50,Carly,Cooper,555-1283,10,Team Juliet
51,Carmen,Reed,555-3494,6,Team Foxtrot
52,Carol,Russell,555-5605,7,Team Golf
53,Caroline,Simmons,555-7716,8,Team Hotel
54,Carolyn,Daniels,555-9827,9,Team India
55,Catherine,Butler,555-1938,10,Team Juliet
56,Cathy,Barnes,555-4149,6,Team Foxtrot
57,Cecilia,Gray,555-6360,7,Team Golf
58,Celeste,Coleman,555-8571,8,Team Hotel
59,Celia,Ramos,555-0782,9,Team India
60,Cesar,Ray,555-2993,10,Team Juliet
61,Chad,West,555-5204,6,Team Foxtrot
62,Charles,Watson,555-7415,7,Team Golf
63,Charlotte,Brooks,555-9626,8,Team Hotel
64,Cheryl,Bennett,555-2837,9,Team India
65,Chris,Richardson,555-4048,10,Team Juliet
66,Christian,Rivera,555-6259,6,Team Foxtrot
67,Christina,Price,555-8460,7,Team Golf
68,Christine,Myers,555-0671,8,Team Hotel
69,Christopher,Kelly,555-2882,9,Team India
70,Chuck,Morris,555-5093,10,Team Juliet
71,Cindy,Long,555-7204,6,Team Foxtrot
72,Claire,Wood,555-9315,7,Team Golf
73,Clara,Woods,555-1426,8,Team Hotel
74,Clarence,Patterson,555-3537,9,Team India
75,Clarissa,Hughes,555-5648,10,Team Juliet
76,Clark,Washington,555-7759,6,Team Foxtrot
77,Claude,Bryant,555-9860,7,Team Golf
78,Claudia,Alexander,555-1971,8,Team Hotel
79,Clayton,Mason,555-4182,9,Team India
80,Clifford,Griffin,555-6393,10,Team Juliet
81,Clint,Mills,555-8504,6,Team Foxtrot
82,Clinton,Warren,555-0615,7,Team Golf
83,Cody,Fox,555-2726,8,Team Hotel
84,Colby,Reynolds,555-4837,9,Team India
85,Cole,Jordan,555-6948,10,Team Juliet
86,Colin,Hamilton,555-9059,6,Team
